date,source,organic_sessions,total_sessions,users,new_users,engaged_sessions,avg_engagement_sec,game_start,game_win,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,note
2026-08-21,pulse,0,44,43,41,13,46,37,4,0,9,0.0%,76.9,
2026-08-22,pulse,0,29,26,24,26,153,39,11,0,12,0.0%,73.0,
2026-08-23,pulse,0,34,33,29,32,133,40,10,0,0,0.0%,0.0,
2026-08-24,pulse,0,46,43,38,45,48,44,4,0,0,0.0%,0.0,
2026-08-25,pulse,0,39,36,32,35,14,35,3,0,1,0.0%,81.0,
2026-08-26,pulse,0,37,31,25,31,22,29,1,0,3,0.0%,31.7,
2026-08-27,pulse,0,41,37,31,36,19,41,2,0,1,0.0%,73.0,
2026-08-28,pulse,0,18,18,16,16,3,16,0,0,3,0.0%,82.7,
2026-08-29,pulse,0,4,3,2,4,214,3,1,0,7,0.0%,56.7,
2026-08-30,pulse,0,5,4,3,3,0,3,0,0,5,0.0%,41.0,
2026-08-31,pulse,0,4,4,4,4,4,4,0,0,3,0.0%,74.0,
2026-09-01,pulse,0,2,2,2,2,106,3,1,0,5,0.0%,67.6,
2026-09-02,pulse,0,3,3,3,3,0,3,0,0,5,0.0%,82.0,
2026-09-03,pulse,0,1,1,1,1,0,1,0,0,23,0.0%,76.7,
2026-09-04,pulse,1,8,8,8,7,2,8,0,0,17,0.0%,78.2,
2026-09-05,pulse,4,4,4,4,4,16,5,0,0,8,0.0%,79.3,
2026-09-06,pulse,0,2,2,2,2,0,2,0,0,6,0.0%,81.5,
2026-09-07,pulse,5,7,7,7,7,2,7,0,0,6,0.0%,67.7,
2026-09-08,pulse,9,10,9,8,8,15,8,0,0,9,0.0%,77.4,
2026-09-09,pulse,1,1,1,1,1,105,1,0,0,5,0.0%,67.6,
2026-09-10,pulse,2,5,4,3,5,31,22,13,0,5,0.0%,80.6,
2026-09-11,pulse,6,13,8,7,10,55,16,4,0,6,0.0%,62.2,
2026-09-12,pulse,2,9,4,2,3,10,5,0,0,21,0.0%,77.1,
2026-09-13,pulse,3,10,7,6,6,64,7,2,0,11,0.0%,69.6,
2026-09-14,pulse,6,11,10,8,8,2,8,0,0,1,0.0%,87.0,
2026-09-15,pulse,6,11,9,8,8,83,8,0,0,3,0.0%,94.3,
2026-09-16,pulse,4,7,6,5,6,2,5,0,,,,,
2026-09-17,pulse,0,4,2,1,0,0,0,0,,,,,
